"","Year","Area","Street","Street.2"
"578",2011,"","Edgbaston Park Road",""
"579",2011,"","Exeter Rd Hubert Rd",""
"580",2011,"","Fordhouse Lane",""
"581",2011,"","Four ACres Quinton",""
"582",2011,"","Frogmill Road Frankley",""
"583",2011,"","Genners Lane",""
"584",2011,"","Glastonbury Road",""
"585",2011,"","Great Park Rubery",""
"586",2011,"","Griffins Brook Lane",""
"587",2011,"","Grosvenor Shopping Centre",""
"588",2011,"","Hagley Road",""
"589",2011,"","Hagley Road",""
"590",2011,"","Hagley Road",""
"591",2011,"","Hagley Road",""
"592",2011,"","Hagley Road",""
"593",2011,"","Hagley Road",""
"594",2011,"","Hagley Road",""
"595",2011,"","Hagley Road",""
"596",2011,"","Hagley Road",""
"597",2011,"","Hagley Road Edgbaston",""
"598",2011,"","Hagley Road Eedgbaston",""
"599",2011,"","Harborne Cricket Club",""
"600",2011,"","Harborne High St",""
"601",2011,"","Harborne High Street",""
"602",2011,"","Harborne High Street",""
"603",2011,"","Harborne High Street",""
"604",2011,"","Harborne Park Road",""
"605",2011,"","Harborne Police Station",""
"606",2011,"","Harbourne Cricket Club",""
"607",2011,"","Hawkesley End",""
"608",2011,"","Hawkesley Square",""
"609",2011,"","Hazelwell Street",""
"610",2011,"","Heathmill Lane Digbeth",""
"611",2011,"","Herons Wood",""
"612",2011,"","High St",""
"613",2011,"","High St Harborne",""
"614",2011,"","High St Harborne",""
"615",2011,"","High St Northfield",""
"616",2011,"","High Street Harborne",""
"617",2011,"","High Street Harborne",""
"618",2011,"","High Street Harborne",""
"619",2011,"","High Street Harborne",""
"620",2011,"","High Street Harbourne",""
"621",2011,"","High Street Harborne",""
"622",2011,"","High Street Harborne",""
"623",2011,"","Highfdield Lane",""
"624",2011,"","Highfield Lane",""
"625",2011,"","Highfield Lane Quinton",""
"626",2011,"","Hoggs Lane Northfield",""
"627",2011,"","Hollybank Road",""
"628",2011,"","Holywood Bowl Rubery",""
"629",2011,"","Home Address",""
"630",2011,"","Honnington Crescent Northfield",""
"631",2011,"","Jiggins Lane",""
"632",2011,"","Jiggins Lane Bartley Green",""
"633",2011,"","Kembertone Road",""
"634",2011,"","Kings Norton Green",""
"635",2011,"","Leech Green Rd",""
"636",2011,"","Leith Grove",""
"637",2011,"","Leith Grove",""
"638",2011,"","Long Fellow Road",""
"639",2011,"","Longbridge Lane",""
"640",2011,"","Longbridge Lane",""
"641",2011,"","Longbridge Lane West Heath",""
"642",2011,"","Longham Croft",""
"643",2011,"","Lottie Road",""
"644",2011,"","Lutley Grove",""
"645",2011,"","Malins Road Harborne",""
"646",2011,"","Manderville House",""
"647",2011,"","Marjoram Close Hawksley",""
"648",2011,"","Masshouse Lane",""
"649",2011,"","Masshouse Lane",""
"650",2011,"","Maypole Lane",""
"651",2011,"","Merritts Hill",""
"652",2011,"","Metchley Lane",""
"653",2011,"","Moat Road",""
"654",2011,"","Mounbatten House Wyndham Road",""
"655",2011,"","NEW STREET BR",""
"656",2011,"","New Street Station",""
"657",2011,"","Nortb Worcester Golf Club",""
"658",2011,"","North Street Harborne",""
"659",2011,"","North Street Harborne",""
"660",2011,"","Northfield High Street",""
